"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","UWater:0","UWater:1","UWater:2","alpha.water","k","kMean","nut","p_rgh","p_rghMean","rho","p","Points:0","Points:1","Points:2"
0.43017,0.053847,-0.057996,0.44983,0.022865,-0.076453,0.0022449,0.00081298,0.00045883,-7.272e-06,4.5769e-05,-0.00015319,0.26782,0.026706,-0.030761,0.49814,0.011392,0.011029,8.7151e-06,1192.2,1193.8,498.64,78.158,-2.6274,-0.19073,0.15532
0.42207,0.052777,-0.056747,0.44305,0.022167,-0.073859,0.0022665,0.00080627,0.00041214,-4.9625e-06,3.6759e-05,-0.00016609,0.26198,0.025783,-0.029901,0.49751,0.011389,0.010987,8.5077e-06,1192.8,1195.9,498.01,78.156,-2.6301,-0.19073,0.15558
0.39169,0.02177,-0.054894,0.4115,0.010414,-0.077527,0.0039804,0.0011589,0.00078233,0.00061033,-1.7246e-06,-0.000418,0.26893,0.020945,-0.033348,0.49806,0.011598,0.011596,1.1816e-05,1183.3,1184.8,498.56,84.013,-2.6092,-0.19073,0.15332
0.37735,0.020472,-0.050333,0.39856,0.0090602,-0.072902,0.0040645,0.0011723,0.0007007,0.00063376,-1.4924e-05,-0.00045753,0.26092,0.020525,-0.030216,0.49743,0.011625,0.011535,1.4981e-05,1185.4,1188.5,497.93,83.937,-2.6137,-0.19073,0.15384
0.37387,-0.028287,-0.051977,0.3801,-0.0010504,-0.070923,0.0032934,0.0012273,0.0013314,0.00044413,4.778e-05,-0.00033618,0.26818,0.0090658,-0.037488,0.50179,0.011343,0.011361,4.3521e-06,1183.6,1175.1,502.29,88.722,-2.591,-0.19073,0.15129
0.35636,-0.030564,-0.042387,0.36143,-0.0035095,-0.065185,0.0032927,0.0012738,0.0012471,0.00045425,4.5034e-05,-0.00038498,0.26153,0.0096445,-0.031236,0.50153,0.0114,0.011318,8.041e-06,1187.7,1179.8,502.03,88.349,-2.5973,-0.19073,0.15211
0.37022,-0.037485,-0.046936,0.37174,-0.0045873,-0.06255,0.002535,0.00099159,0.0021461,0.00011031,0.00017085,-0.00014247,0.25836,0.0040494,-0.039048,0.49967,0.010713,0.010719,0,1173.1,1169.6,500.17,92.643,-2.5728,-0.19073,0.1495
0.35663,-0.042764,-0.03615,0.35359,-0.0079933,-0.05688,0.0021608,0.001012,0.002036,3.8938e-05,0.00017526,-0.00014306,0.25762,0.0037101,-0.032837,0.50205,0.010746,0.010707,4.2079e-07,1183.1,1173.6,502.54,91.268,-2.5807,-0.19073,0.1506
0.35294,-0.026442,-0.036429,0.3665,-0.0059018,-0.054456,0.0036464,0.0010137,0.0030934,0.00042708,0.00025044,-0.00029876,0.23464,0.0052447,-0.034165,0.4794,0.01054,0.010618,7.3133e-08,1123.8,1168.9,479.92,96.302,-2.5546,-0.19073,0.14791
0.35362,-0.035423,-0.033607,0.35829,-0.0084622,-0.048601,0.0029318,0.00093203,0.0028467,0.00025905,0.00026571,-0.00021667,0.24408,0.002895,-0.033417,0.48839,0.010493,0.0106,0,1147.9,1171,488.9,93.949,-2.5639,-0.19073,0.14922
0.3192,-0.02842,-0.029618,0.33585,-0.014144,-0.049658,0.0050087,0.0014651,0.0037853,0.00090175,0.00015795,-0.00062346,0.20907,0.0046117,-0.028927,0.46246,0.010772,0.011106,1.8256e-06,1082.9,1169.8,463,100.26,-2.5364,-0.19073,0.14644
0.3378,-0.032101,-0.032102,0.3476,-0.011206,-0.044269,0.004049,0.0012183,0.0034144,0.00059291,0.00023945,-0.00050189,0.22505,0.0033328,-0.031835,0.46962,0.010594,0.010828,7.386e-08,1101.6,1170.5,470.15,96.9,-2.5472,-0.19073,0.1478
0.28931,-0.047972,-0.04072,0.28149,-0.028452,-0.047512,0.0067748,0.0017214,0.0041769,0.00097705,5.7304e-05,-0.00076113,0.1907,-0.0020799,-0.030901,0.46192,0.011202,0.011843,5.2726e-06,1080.9,1168.4,462.45,106.03,-2.5182,-0.19073,0.14498
0.31147,-0.035783,-0.035079,0.31551,-0.019172,-0.048208,0.0053871,0.0015741,0.0038599,0.00088592,0.00011917,-0.00075833,0.20676,0.002297,-0.030249,0.46105,0.010866,0.01131,1.8453e-06,1079.1,1169.9,461.59,100.91,-2.5305,-0.19073,0.14632
0.27576,-0.078893,-0.062154,0.22397,-0.040724,-0.039909,0.0085272,0.0020685,0.0044166,0.00048545,0.00022751,-0.00042371,0.17702,-0.015581,-0.038081,0.46018,0.011825,0.011943,6.4616e-06,1077.8,1165.5,460.72,111.68,-2.5,-0.19073,0.14373
0.28775,-0.05111,-0.048274,0.26792,-0.030171,-0.050136,0.0069355,0.0017786,0.0042765,0.0007984,9.3303e-05,-0.00069157,0.19072,-0.0034778,-0.032567,0.46145,0.011425,0.011809,5.3063e-06,1079.4,1167.7,461.99,106.62,-2.5138,-0.19073,0.14489
0.26103,-0.10849,-0.082321,0.17335,-0.045715,-0.028513,0.0097804,0.0024953,0.0047572,0.00042814,0.00050202,-8.4242e-05,0.16553,-0.03127,-0.045938,0.45608,0.012738,0.011752,4.0141e-06,1067.3,1164.9,456.62,113.22,-2.4818,-0.19073,0.14315
0.27081,-0.079104,-0.067341,0.21615,-0.040179,-0.041989,0.0084051,0.0020716,0.0045361,0.0003871,0.00025799,-0.00030921,0.17528,-0.016049,-0.038934,0.458,0.012313,0.011881,6.4295e-06,1072.7,1165.1,458.54,111.53,-2.4967,-0.19073,0.1438
0.24255,-0.11471,-0.09741,0.1298,-0.041459,-0.016457,0.010856,0.0028201,0.0054226,0.0010129,0.00072458,-2.6582e-05,0.16146,-0.040904,-0.051905,0.46941,0.013959,0.011988,1.0558e-06,1091.1,1167,469.94,110.29,-2.4636,-0.19073,0.14328
0.25321,-0.1066,-0.087465,0.16865,-0.044215,-0.029022,0.0095846,0.0024532,0.0048476,0.00043156,0.00049638,-2.3724e-05,0.16261,-0.031076,-0.046911,0.45571,0.013361,0.011773,3.9678e-06,1066.3,1165.1,456.26,112.34,-2.479,-0.19073,0.14332
0.24801,-0.090561,-0.088152,0.090428,-0.033157,-0.0045651,0.011756,0.0032644,0.0060934,0.0015423,0.00094169,0.000186,0.18044,-0.038656,-0.048751,0.51783,0.014332,0.012547,0,1187.7,1170.1,518.31,103.64,-2.4455,-0.19073,0.14418
0.23959,-0.11038,-0.099547,0.12711,-0.039523,-0.015709,0.010686,0.0027891,0.0054371,0.0010325,0.00070474,2.585e-05,0.15969,-0.040063,-0.052321,0.47413,0.014306,0.012053,1.0382e-06,1101.2,1167.4,474.65,108.86,-2.4606,-0.19073,0.14353
0.26397,-0.046795,-0.037515,0.054968,-0.024773,0.0034067,0.011889,0.0033295,0.006383,0.0015858,0.0010677,0.00070317,0.20815,-0.019393,-0.02407,0.57708,0.013721,0.013218,3.5159e-07,1309.9,1173,577.5,96.357,-2.4273,-0.19073,0.14589
0.25147,-0.083057,-0.077034,0.088813,-0.030469,-0.0036876,0.011562,0.0032159,0.0060343,0.0015243,0.00092295,0.00028897,0.18002,-0.036309,-0.044512,0.52697,0.014023,0.01265,0,1208.1,1170.7,527.45,101.87,-2.4414,-0.19073,0.14456
0.24608,-0.0061093,0.046291,0.030146,-0.015689,0.0063041,0.010867,0.0030595,0.0061807,0.00097102,0.00098922,0.0012753,0.19499,0.0079314,0.022689,0.58281,0.013653,0.013784,4.1897e-06,1329.3,1175.6,583.22,95.718,-2.4091,-0.19073,0.14809
0.26413,-0.039671,-0.0070093,0.054008,-0.020824,0.0033541,0.011542,0.0033209,0.006234,0.0014742,0.0010191,0.00085491,0.20352,-0.016251,-0.011108,0.58001,0.013331,0.01338,3.6282e-07,1318.6,1174,580.43,95.146,-2.4212,-0.19073,0.14651
0.19577,-0.0043644,0.12204,0.017064,-0.0086169,0.0055979,0.0092057,0.002709,0.0055487,0.00011888,0.00077496,0.0016025,0.13565,0.013243,0.061733,0.52216,0.015031,0.014231,1.0672e-05,1217.4,1178.2,522.64,101.17,-2.3909,-0.19073,0.15042
0.23859,-0.01342,0.08086,0.029593,-0.012106,0.0048076,0.010321,0.0030575,0.0058493,0.00075766,0.00089055,0.0013611,0.18175,0.0044941,0.036786,0.56735,0.014314,0.014042,7.0135e-06,1301.6,1177.1,567.78,96.456,-2.4004,-0.19073,0.14901
0.15638,-0.046724,0.13365,0.012308,-0.0069763,0.003675,0.0076083,0.0023195,0.0048007,-0.00038766,0.00058373,0.0015829,0.087362,-0.0114,0.064057,0.46819,0.017248,0.014676,2.7361e-05,1116.2,1181,468.72,103.27,-2.3727,-0.19073,0.15271
0.18919,-0.030238,0.1267,0.017203,-0.0078453,0.003367,0.0084804,0.0025314,0.0051088,-8.1243e-05,0.00068847,0.00151,0.12316,-0.00081834,0.061274,0.5034,0.016552,0.014587,2.4443e-05,1183,1180.2,503.9,101.42,-2.3795,-0.19073,0.15168
0.12857,-0.078581,0.081793,0.01386,-0.0094132,0.002388,0.0063277,0.0019478,0.0041696,-0.00045884,0.0003813,0.0013416,0.068608,-0.033324,0.036351,0.44895,0.019738,0.015166,5.6429e-05,1074.5,1184.2,449.5,96.684,-2.3545,-0.19073,0.15482
0.14133,-0.061312,0.094684,0.014769,-0.0090224,0.0019312,0.006784,0.0020374,0.0043515,-0.00041231,0.00044776,0.0013441,0.078285,-0.02199,0.044071,0.45368,0.019251,0.015124,5.2224e-05,1083.6,1183.6,454.23,97.929,-2.3587,-0.19073,0.15423
0.09304,-0.058303,-0.00041341,0.019997,-0.013236,0.00199,0.0053188,0.0016715,0.0036234,-0.00030501,0.00016227,0.0011,0.052904,-0.029177,-0.0020107,0.43307,0.022198,0.015809,7.922e-05,1033.7,1187.6,433.64,85.839,-2.3364,-0.19073,0.15683
0.096194,-0.05444,0.0074822,0.019685,-0.012912,0.0016289,0.0054727,0.0017011,0.0036827,-0.00031347,0.00018791,0.0011086,0.053619,-0.02625,0.0029122,0.43045,0.021998,0.015798,7.7802e-05,1028.9,1187.3,431.02,86.764,-2.338,-0.19073,0.15662
0.079764,-0.035913,-0.043138,0.026802,-0.015509,0.00213,0.0048015,0.0015479,0.0033211,-0.00021416,9.284e-05,0.0010168,0.044329,-0.019297,-0.02037,0.43945,0.024186,0.016384,7.4177e-05,1046.6,1189.8,440.01,78.293,-2.3245,-0.19073,0.15816
0.072463,0.060283,-0.00074807,0.05931,0.058605,-0.002973,0.00072027,0.0025679,0.00062013,-0.00042453,0.00011949,0.00012666,0.035693,0.031131,-0.0016181,0.48979,0.014587,0.013395,8.7522e-05,1250.2,1277.3,490.3,59.828,-2.8818,-0.19073,0.16933
0.045235,0.040932,-0.0011619,0.034718,0.037569,-0.0096927,0.00067553,0.0022528,0.00041217,-0.00040052,5.2906e-05,0.00015461,0.013853,0.015071,-0.0028056,0.49075,0.015237,0.013864,6.2117e-05,1253.5,1278,491.26,60.062,-2.8881,-0.19073,0.16915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49099,0.016211,0.014668,2.9154e-05,1254.2,1278.3,491.5,60.318,-2.9,-0.19073,0.16887
0.17671,0.092179,-0.013447,0.15284,0.078168,-0.018162,0.0025546,0.003561,0.0009168,0.00029287,0.00016048,0.00025944,0.081875,0.04512,-0.0028462,0.48706,0.012554,0.011832,7.2991e-05,1238.7,1272.7,487.57,57.874,-2.8637,-0.19073,0.1693
0.14404,0.083983,-0.01209,0.12056,0.073325,-0.018252,0.002533,0.0035002,0.00078704,0.00026316,0.00020976,0.00027003,0.056767,0.039136,-0.0022353,0.48879,0.013395,0.012447,7.2932e-05,1246.2,1275.8,489.31,59.877,-2.8698,-0.19073,0.16925
0.26722,0.10525,-0.043154,0.21577,0.080453,-0.042452,0.0098196,0.0032845,0.00091326,0.0014955,4.5582e-05,0.00022509,0.12742,0.049667,-0.01483,0.48177,0.011845,0.011472,4.3096e-05,1216.2,1263.4,482.29,58.312,-2.8455,-0.19073,0.16773
0.23081,0.10091,-0.032638,0.17717,0.077848,-0.03335,0.010351,0.0034309,0.00093648,0.0015601,0.00016761,0.00025054,0.10013,0.047993,-0.0066733,0.48432,0.01222,0.01174,5.3962e-05,1228.6,1269.6,484.84,60.284,-2.8527,-0.19073,0.16829
0.3196,0.10935,-0.058384,0.2473,0.079607,-0.054157,0.013358,0.0026257,0.00080309,0.0017075,-0.00018076,0.00015862,0.16403,0.049108,-0.022965,0.47547,0.011449,0.011477,3.3079e-05,1189.7,1252.1,476,60.189,-2.8273,-0.19073,0.16534
0.27581,0.10531,-0.04995,0.19486,0.076821,-0.04469,0.015396,0.0028541,0.00095547,0.0019774,-0.00013523,0.00020632,0.13785,0.049101,-0.016254,0.4789,0.011732,0.011614,4.9813e-05,1205.5,1259.9,479.43,60.823,-2.8363,-0.19073,0.16654
0.35294,0.10157,-0.042315,0.29898,0.074697,-0.045675,0.007517,0.0018839,0.00067647,0.00070692,-7.4254e-05,0.00034676,0.18984,0.047932,-0.017087,0.47481,0.011333,0.011166,2.3967e-05,1178.5,1242,475.34,62.844,-2.8092,-0.19073,0.16284
0.29908,0.095258,-0.049956,0.2319,0.07383,-0.047043,0.0097376,0.0021064,0.00085339,0.00096558,-0.00021341,0.0004564,0.16806,0.047551,-0.021531,0.47458,0.011661,0.011298,4.1222e-05,1185,1249.7,475.1,61.845,-2.8203,-0.19073,0.1645
0.39151,0.09684,-0.0060033,0.3658,0.066869,-0.016547,0.0028517,0.0013739,0.00059008,-2.5553e-05,0.00016696,0.00034134,0.20781,0.047772,-0.0006156,0.48686,0.011085,0.010709,1.2004e-05,1200.7,1234.4,487.37,65.465,-2.791,-0.19073,0.16103
0.34706,0.093836,-0.030621,0.30859,0.072617,-0.035106,0.0037729,0.0015123,0.0006915,7.7949e-05,-5.2292e-05,0.00049865,0.19116,0.047022,-0.015438,0.47616,0.011488,0.010928,2.1373e-05,1181,1241.1,476.69,63.816,-2.8043,-0.19073,0.16247
0.40821,0.087114,0.024577,0.39733,0.054431,0.013409,0.0018063,0.0012151,0.00052282,-0.00018979,0.00023295,0.00022369,0.21749,0.045231,0.014916,0.50299,0.010817,0.010507,1.0741e-05,1236.3,1230,503.49,66.88,-2.7729,-0.19073,0.16066
0.39933,0.095647,9.6732e-05,0.37711,0.066421,-0.0099632,0.0019688,0.0013317,0.00056769,-0.00012662,0.00014335,0.00029807,0.20821,0.047288,0.00019541,0.48854,0.011119,0.010718,9.7725e-06,1205.1,1234.4,489.05,65.895,-2.7877,-0.19073,0.16099
0.40091,0.070624,0.032287,0.39719,0.041907,0.023623,0.0016622,0.0011441,0.00043563,-0.00014967,0.00018262,0.0001634,0.22002,0.038743,0.020647,0.51308,0.010738,0.010537,1.2348e-05,1261.8,1229.1,513.57,67.988,-2.7547,-0.19073,0.16136
0.41331,0.086465,0.024491,0.403,0.053458,0.014386,0.001534,0.0012345,0.00048831,-0.00016019,0.00023159,0.00013069,0.21756,0.044772,0.014981,0.50465,0.010877,0.010636,9.1134e-06,1241.1,1230.4,505.15,67.071,-2.7699,-0.19073,0.16077
0.3918,0.051592,0.01393,0.39418,0.031625,0.013166,0.0016722,0.0011158,0.00036121,-2.8325e-05,0.00013587,7.4982e-05,0.22345,0.030454,0.014366,0.51919,0.010988,0.010842,1.7365e-05,1278.3,1228.1,519.67,68.883,-2.7365,-0.19073,0.16213
0.39853,0.067763,0.025627,0.39915,0.039896,0.020175,0.0015498,0.0011665,0.00039788,-8.5826e-05,0.00019596,2.0691e-05,0.22036,0.038052,0.019739,0.51545,0.010942,0.010763,1.1085e-05,1268.3,1229.4,515.93,68.254,-2.7511,-0.19073,0.16148
0.37889,0.030521,-0.015045,0.39891,0.023569,-0.0065324,0.0018935,0.0010948,0.00035282,-2.5603e-05,0.00011976,-4.2391e-05,0.23064,0.023197,0.0012135,0.51831,0.011707,0.011179,2.8571e-05,1273.8,1224.4,518.79,68.07,-2.7183,-0.19073,0.16231
0.36958,0.04271,0.0060378,0.39135,0.02873,0.0088313,0.0018966,0.0011312,0.0003639,-6.8182e-05,0.00014705,-8.5193e-05,0.22351,0.02951,0.012947,0.52013,0.011343,0.010994,2.1921e-05,1280.5,1227.8,520.61,69.077,-2.7323,-0.19073,0.16213
0.38516,0.016822,-0.038085,0.41138,0.019497,-0.025897,0.0015627,0.0010771,0.00036507,-1.3434e-05,0.00011738,-4.5811e-05,0.24053,0.018588,-0.011778,0.51132,0.011847,0.011217,1.6512e-05,1250.6,1218.6,511.81,65.827,-2.7002,-0.19073,0.16179
0.35752,0.023172,-0.017407,0.39023,0.021994,-0.0082251,0.0017165,0.0011678,0.00037334,-4.3983e-05,0.00011702,-8.8993e-05,0.23038,0.022448,0.00033793,0.51721,0.011521,0.01105,2.714e-05,1270.2,1223.6,517.7,67.962,-2.7141,-0.19073,0.1622
0.42397,0.014727,-0.053539,0.43549,0.019035,-0.043405,0.0009,0.00091128,0.00033041,4.7384e-05,0.00012193,5.255e-05,0.25046,0.0165,-0.021567,0.50377,0.011573,0.011065,1.7774e-07,1225.4,1212.5,504.27,64.16,-2.682,-0.19073,0.16073
0.38648,0.017542,-0.035436,0.40479,0.019143,-0.025302,0.00096252,0.001126,0.00036748,3.1628e-05,0.00012472,3.3008e-05,0.24007,0.01824,-0.011937,0.51054,0.011433,0.010986,1.1708e-05,1247.9,1217.9,511.03,65.752,-2.6965,-0.19073,0.16167
0.4648,0.018548,-0.06416,0.47018,0.021265,-0.059597,0.00082147,0.0005534,0.00027679,2.8423e-05,0.0001084,6.737e-05,0.25863,0.017198,-0.027765,0.49824,0.011616,0.010993,0,1206.6,1207.2,498.74,64.738,-2.6638,-0.19073,0.15915
0.42956,0.016216,-0.047836,0.43622,0.018549,-0.041312,0.00069787,0.00084344,0.00036497,4.65e-05,0.00014285,9.2932e-05,0.24967,0.01644,-0.021165,0.50336,0.011497,0.010979,0,1224.2,1212.2,503.86,64.29,-2.6794,-0.19073,0.16065
0.46534,0.019131,-0.061444,0.47125,0.021148,-0.057956,0.00082802,0.00050863,0.00031042,1.6376e-05,0.00010683,6.0372e-05,0.25819,0.017319,-0.027479,0.498,0.011618,0.010997,4.1406e-09,1206,1207.2,498.5,64.847,-2.6628,-0.19073,0.15913
0.075142,-0.021472,-0.067367,0.036186,-0.015595,0.002926,0.004994,0.0016145,0.0032462,-0.00017569,6.8078e-05,0.0010515,0.043023,-0.014266,-0.029894,0.44303,0.025265,0.016913,7.1292e-05,1052.7,1189.4,443.58,76.461,-2.3182,-0.19073,0.1588
0.095353,-0.010544,-0.075765,0.066363,-0.015186,0.0060677,0.0058789,0.0019178,0.0031011,-0.00017094,1.2205e-05,0.0011392,0.053527,-0.010406,-0.032102,0.48077,0.027719,0.018554,3.5101e-05,1133.6,1188,481.29,72.267,-2.3,-0.19073,0.16055
0.077418,-0.021494,-0.06808,0.036812,-0.015684,0.0028812,0.0050982,0.0016241,0.0032392,-0.00016407,7.4748e-05,0.0010433,0.043338,-0.014287,-0.030074,0.44422,0.025385,0.017035,7.0106e-05,1055.6,1189.4,444.78,76.469,-2.3175,-0.19073,0.15883
0.14362,-0.029523,-0.041666,0.099394,-0.014998,0.0086049,0.007959,0.0024804,0.0030461,-0.00021907,-0.00012343,0.00090606,0.075685,-0.017356,-0.01379,0.50046,0.028697,0.020019,7.3899e-06,1177.2,1186.3,500.96,70.813,-2.2818,-0.19073,0.16205
0.1066,-0.017228,-0.071663,0.06965,-0.015645,0.0057146,0.0068318,0.0020647,0.0031099,-0.0001316,1.1441e-05,0.00097244,0.055769,-0.01174,-0.031229,0.4836,0.028173,0.018942,2.8083e-05,1140.5,1187.9,484.12,72.279,-2.2974,-0.19073,0.16063
0.20838,-0.060646,-0.0038451,0.13359,-0.014004,0.0084651,0.013346,0.003523,0.0032826,-0.00014739,-0.0002872,0.000439,0.10291,-0.031182,0.0072842,0.49169,0.032509,0.02239,1.013e-06,1156,1183.7,492.2,68.872,-2.2636,-0.19073,0.16338
0.16187,-0.039868,-0.033819,0.10419,-0.01529,0.0077437,0.011234,0.0029801,0.0031813,-8.813e-05,-0.0001714,0.00053843,0.07973,-0.020325,-0.011462,0.4991,0.030544,0.020967,3.3831e-06,1173.7,1185.9,499.6,70.325,-2.2775,-0.19073,0.16218
0.29515,-0.076984,0.024502,0.17397,-0.012722,0.0051355,0.032405,0.005598,0.0044025,-0.00012611,-0.0002083,-0.0016944,0.12317,-0.043053,0.022025,0.45926,0.042649,0.02731,6.8281e-07,1076.4,1179.3,459.8,64.281,-2.2455,-0.19073,0.16415
0.25016,-0.058503,0.0053353,0.14456,-0.013695,0.0060052,0.028389,0.0045646,0.0040477,-0.0001565,-0.00029594,-0.0012766,0.10605,-0.032869,0.0093447,0.48349,0.036419,0.024752,1.0549e-06,1135.5,1182.7,484.01,67.913,-2.258,-0.19073,0.16339
0.30811,-0.072718,0.076102,0.22957,-0.0067447,0.016686,0.096112,0.0097113,0.0076559,0.0015594,-0.00052242,0.00047692,0.15136,-0.044964,0.04897,0.42147,0.057099,0.033523,1.5585e-07,976.14,1167,422.05,57.078,-2.2273,-0.19073,0.16248
0.22365,-0.052825,0.02873,0.16223,-0.0084886,-0.0081862,0.092718,0.0088445,0.0074042,0.0020904,-0.0004899,-0.0020795,0.12434,-0.041465,0.025123,0.45206,0.049571,0.030788,1.8114e-07,1055.5,1175.3,452.61,64.069,-2.2398,-0.19073,0.16334
